raceId,current_lap,grid,position,total_laps,statusId,year,circuitRef,driverRef,constructorRef,lap_seconds,fastest_lap_time
900,16,2,,57,2,2014,albert_park,ricciardo,red_bull,95.415,93.066
900,17,2,,57,2,2014,albert_park,ricciardo,red_bull,94.066,93.066
900,18,2,,57,2,2014,albert_park,ricciardo,red_bull,93.883,93.066
900,19,2,,57,2,2014,albert_park,ricciardo,red_bull,93.969,93.066
900,20,2,,57,2,2014,albert_park,ricciardo,red_bull,94.14,93.066
900,21,2,,57,2,2014,albert_park,ricciardo,red_bull,93.816,93.066
900,22,2,,57,2,2014,albert_park,ricciardo,red_bull,93.826,93.066
900,23,2,,57,2,2014,albert_park,ricciardo,red_bull,94.258,93.066
900,24,2,,57,2,2014,albert_park,ricciardo,red_bull,94.804,93.066
900,25,2,,57,2,2014,albert_park,ricciardo,red_bull,95.277,93.066
900,26,2,,57,2,2014,albert_park,ricciardo,red_bull,94.873,93.066
900,27,2,,57,2,2014,albert_park,ricciardo,red_bull,95.099,93.066
900,28,2,,57,2,2014,albert_park,ricciardo,red_bull,94.968,93.066
900,29,2,,57,2,2014,albert_park,ricciardo,red_bull,95.113,93.066
900,30,2,,57,2,2014,albert_park,ricciardo,red_bull,95.976,93.066
900,31,2,,57,2,2014,albert_park,ricciardo,red_bull,95.448,93.066
900,32,2,,57,2,2014,albert_park,ricciardo,red_bull,96.539,93.066
900,33,2,,57,2,2014,albert_park,ricciardo,red_bull,95.03,93.066
900,34,2,,57,2,2014,albert_park,ricciardo,red_bull,95.646,93.066
900,35,2,,57,2,2014,albert_park,ricciardo,red_bull,95.284,93.066
900,36,2,,57,2,2014,albert_park,ricciardo,red_bull,113.313,93.066
900,37,2,,57,2,2014,albert_park,ricciardo,red_bull,102.36,93.066
900,38,2,,57,2,2014,albert_park,ricciardo,red_bull,94.669,93.066
900,39,2,,57,2,2014,albert_park,ricciardo,red_bull,94.044,93.066
900,40,2,,57,2,2014,albert_park,ricciardo,red_bull,93.754,93.066
900,41,2,,57,2,2014,albert_park,ricciardo,red_bull,93.557,93.066
900,42,2,,57,2,2014,albert_park,ricciardo,red_bull,93.251,93.066
900,43,2,,57,2,2014,albert_park,ricciardo,red_bull,93.902,93.066
900,44,2,,57,2,2014,albert_park,ricciardo,red_bull,93.292,93.066
900,45,2,,57,2,2014,albert_park,ricciardo,red_bull,93.942,93.066
900,46,2,,57,2,2014,albert_park,ricciardo,red_bull,94.683,93.066
900,47,2,,57,2,2014,albert_park,ricciardo,red_bull,95.255,93.066
900,48,2,,57,2,2014,albert_park,ricciardo,red_bull,93.74,93.066
900,49,2,,57,2,2014,albert_park,ricciardo,red_bull,93.066,93.066
900,50,2,,57,2,2014,albert_park,ricciardo,red_bull,93.231,93.066
900,51,2,,57,2,2014,albert_park,ricciardo,red_bull,93.335,93.066
