grid,year,circuitRef,location,trackLength,trackTurns,driverRef,driverNationality,constructorRef,constructorNationality
8,2003,magny_cours,Magny Cours,4.411,16,barrichello,Brazilian,ferrari,Italian
18,2023,catalunya,Montmeló,4.657,14,albon,Thai,williams,British
9,2002,magny_cours,Magny Cours,4.411,16,irvine,British,jaguar,British
16,2011,catalunya,Montmeló,4.657,14,resta,British,force_india,Indian
12,2024,interlagos,São Paulo,4.309,15,perez,Mexican,red_bull,Austrian
5,2008,monza,Monza,5.793,11,rosberg,German,williams,British
9,2009,valencia,Valencia,5.419,25,webber,Australian,red_bull,Austrian
6,2017,baku,Baku,6.003,20,perez,Mexican,force_india,Indian
1,2004,hungaroring,Budapest,4.381,14,michael_schumacher,German,ferrari,Italian
18,2007,hungaroring,Budapest,4.381,14,barrichello,Brazilian,honda,Japanese
7,2008,fuji,Oyama,4.563,16,trulli,Italian,toyota,Japanese
17,2018,suzuka,Suzuka,5.807,18,sirotkin,Russian,williams,British
15,2020,istanbul,Istanbul,5.338,14,sainz,Spanish,mclaren,British
4,2004,silverstone,Silverstone,5.891,18,michael_schumacher,German,ferrari,Italian
16,2009,nurburgring,Nürburg,5.148,15,kubica,Polish,bmw_sauber,German
8,2010,valencia,Valencia,5.419,25,hulkenberg,German,williams,British
5,1996,hungaroring,Budapest,4.381,14,alesi,French,benetton,Italian
6,2005,albert_park,Melbourne,5.278,16,klien,Austrian,red_bull,Austrian
3,2014,suzuka,Suzuka,5.807,18,bottas,Finnish,williams,British
20,2022,rodriguez,Mexico City,4.304,17,stroll,Canadian,aston_martin,British
19,2016,rodriguez,Mexico City,4.304,17,nasr,Brazilian,sauber,Swiss
2,2016,yas_marina,Abu Dhabi,5.281,16,rosberg,German,mercedes,German
4,1997,magny_cours,Magny Cours,4.411,16,villeneuve,Canadian,williams,British
3,2016,hungaroring,Budapest,4.381,14,ricciardo,Australian,red_bull,Austrian
8,2019,monza,Monza,5.793,11,albon,Thai,red_bull,Austrian
16,2000,spa,Spa,7.004,20,rosa,Spanish,arrows,British
13,2023,yas_marina,Abu Dhabi,5.281,16,stroll,Canadian,aston_martin,British
17,2022,catalunya,Montmeló,4.657,14,stroll,Canadian,aston_martin,British
16,2020,istanbul,Istanbul,5.338,14,kvyat,Russian,alphatauri,Italian
11,2016,baku,Baku,6.003,20,grosjean,French,haas,American
16,2000,red_bull_ring,Spielberg,4.318,10,herbert,British,jaguar,British
5,2013,marina_bay,Marina Bay,4.94,19,hamilton,British,mercedes,German
18,2004,suzuka,Suzuka,5.807,18,bruni,Italian,minardi,Italian
5,2020,yas_marina,Abu Dhabi,5.281,16,albon,Thai,red_bull,Austrian
15,2017,monza,Monza,5.793,11,sainz,Spanish,toro_rosso,Italian
24,2010,silverstone,Silverstone,5.891,18,yamamoto,Japanese,hrt,Spanish
13,2005,sepang,Kuala Lumpur,5.543,15,michael_schumacher,German,ferrari,Italian
18,2014,americas,Austin,5.513,20,vettel,German,red_bull,Austrian
5,2002,silverstone,Silverstone,5.891,18,raikkonen,Finnish,mclaren,British
7,2004,nurburgring,Nürburg,5.148,15,barrichello,Brazilian,ferrari,Italian
11,2018,shanghai,Shanghai,5.451,16,kevin_magnussen,Danish,haas,American
5,1998,monaco,Monte-Carlo,3.337,19,frentzen,German,williams,British
5,2002,suzuka,Suzuka,5.807,18,ralf_schumacher,German,williams,British
10,2013,monza,Monza,5.793,11,vergne,French,toro_rosso,Italian
10,2021,sochi,Sochi,5.848,15,vettel,German,aston_martin,British
20,2004,suzuka,Suzuka,5.807,18,baumgartner,Hungarian,minardi,Italian
11,2018,hockenheimring,Hockenheim,4.574,16,alonso,Spanish,mclaren,British
18,2023,suzuka,Suzuka,5.807,18,hulkenberg,German,haas,American
10,2011,buddh,Uttar Pradesh,5.141,16,alguersuari,Spanish,toro_rosso,Italian
2,2000,sepang,Kuala Lumpur,5.543,15,hakkinen,Finnish,mclaren,British
8,2018,villeneuve,Montreal,4.361,14,ocon,French,force_india,Indian
15,2003,interlagos,São Paulo,4.309,15,panis,French,toyota,Japanese
12,2023,albert_park,Melbourne,5.278,16,tsunoda,Japanese,alphatauri,Italian
2,2023,bahrain,Sakhir,5.412,15,perez,Mexican,red_bull,Austrian
9,2019,shanghai,Shanghai,5.451,16,kevin_magnussen,Danish,haas,American
11,2004,hungaroring,Budapest,4.381,14,webber,Australian,jaguar,British
9,2024,hungaroring,Budapest,4.381,14,ricciardo,Australian,rb,Italian
12,2006,hockenheimring,Hockenheim,4.574,16,klien,Austrian,red_bull,Austrian
10,2024,jeddah,Jeddah,6.174,27,stroll,Canadian,aston_martin,British
22,2007,shanghai,Shanghai,5.451,16,yamamoto,Japanese,spyker,Dutch
15,2019,villeneuve,Montreal,4.361,14,perez,Mexican,racing_point,British
10,2001,interlagos,São Paulo,4.309,15,raikkonen,Finnish,sauber,Swiss
15,2021,zandvoort,Zandvoort,4.259,14,vettel,German,aston_martin,British
15,2005,hungaroring,Budapest,4.381,14,villeneuve,Canadian,sauber,Swiss
18,2024,albert_park,Melbourne,5.278,16,ricciardo,Australian,rb,Italian
1,2006,monaco,Monte-Carlo,3.337,19,alonso,Spanish,renault,French
8,2013,monaco,Monte-Carlo,3.337,19,sutil,German,force_india,Indian
2,2011,hungaroring,Budapest,4.381,14,hamilton,British,mclaren,British
12,2022,jeddah,Jeddah,6.174,27,zhou,Chinese,alfa,Swiss
4,2007,nurburgring,Nürburg,5.148,15,heidfeld,German,bmw_sauber,German
17,2010,spa,Spa,7.004,20,kobayashi,Japanese,sauber,Swiss
15,2011,silverstone,Silverstone,5.891,18,barrichello,Brazilian,williams,British
8,2008,valencia,Valencia,5.419,25,heidfeld,German,bmw_sauber,German
6,2024,zandvoort,Zandvoort,4.259,14,leclerc,Monegasque,ferrari,Italian
14,2013,hungaroring,Budapest,4.381,14,vergne,French,toro_rosso,Italian
9,2023,red_bull_ring,Spielberg,4.318,10,gasly,French,alpine,French
12,2000,spa,Spa,7.004,20,irvine,British,jaguar,British
5,2019,americas,Austin,5.513,20,hamilton,British,mercedes,German
17,2024,interlagos,São Paulo,4.309,15,hulkenberg,German,haas,American
11,1998,magny_cours,Magny Cours,4.411,16,alesi,French,sauber,Swiss
9,2014,catalunya,Montmeló,4.657,14,massa,Brazilian,williams,British
15,2014,marina_bay,Marina Bay,4.94,19,perez,Mexican,force_india,Indian
14,2020,nurburgring,Nürburg,5.148,15,giovinazzi,Italian,alfa,Swiss
15,1999,villeneuve,Montreal,4.361,14,panis,French,prost,French
17,2019,yas_marina,Abu Dhabi,5.281,16,raikkonen,Finnish,alfa,Swiss
9,2002,monaco,Monte-Carlo,3.337,19,salo,Finnish,toyota,Japanese
4,2010,hockenheimring,Hockenheim,4.574,16,webber,Australian,red_bull,Austrian
8,2006,sepang,Kuala Lumpur,5.543,15,klien,Austrian,red_bull,Austrian
16,2012,hockenheimring,Hockenheim,4.574,16,kovalainen,Finnish,caterham,Malaysian
2,2010,villeneuve,Montreal,4.361,14,vettel,German,red_bull,Austrian
16,2004,spa,Spa,7.004,20,heidfeld,German,jordan,Irish
9,2022,ricard,Le Castellet,5.842,15,ricciardo,Australian,mclaren,British
8,2017,red_bull_ring,Spielberg,4.318,10,hamilton,British,mercedes,German
10,2021,rodriguez,Mexico City,4.304,17,raikkonen,Finnish,alfa,Swiss
16,2016,albert_park,Melbourne,5.278,16,bottas,Finnish,williams,British
4,2009,spa,Spa,7.004,20,barrichello,Brazilian,brawn,British
17,2007,shanghai,Shanghai,5.451,16,vettel,German,toro_rosso,Italian
7,2004,indianapolis,Indianapolis,4.192,13,raikkonen,Finnish,mclaren,British
15,2011,albert_park,Melbourne,5.278,16,maldonado,Venezuelan,williams,British
12,2003,imola,Imola,4.909,19,coulthard,British,mclaren,British
21,2007,albert_park,Melbourne,5.278,16,albers,Dutch,spyker,Dutch
13,2006,nurburgring,Nürburg,5.148,15,heidfeld,German,bmw_sauber,German
15,2016,sochi,Sochi,5.848,15,grosjean,French,haas,American
16,2020,spa,Spa,7.004,20,raikkonen,Finnish,alfa,Swiss
19,2010,monza,Monza,5.793,11,liuzzi,Italian,force_india,Indian
5,2017,baku,Baku,6.003,20,max_verstappen,Dutch,red_bull,Austrian
6,2004,albert_park,Melbourne,5.278,16,webber,Australian,jaguar,British
14,2019,marina_bay,Marina Bay,4.94,19,kvyat,Russian,toro_rosso,Italian
8,2002,magny_cours,Magny Cours,4.411,16,trulli,Italian,renault,French
1,2016,hockenheimring,Hockenheim,4.574,16,rosberg,German,mercedes,German
15,2016,monza,Monza,5.793,11,sainz,Spanish,toro_rosso,Italian
1,1999,albert_park,Melbourne,5.278,16,hakkinen,Finnish,mclaren,British
12,2007,interlagos,São Paulo,4.309,15,fisichella,Italian,renault,French
6,2020,silverstone,Silverstone,5.891,18,stroll,Canadian,racing_point,British
2,2018,interlagos,São Paulo,4.309,15,vettel,German,ferrari,Italian
12,2002,hockenheimring,Hockenheim,4.574,16,sato,Japanese,jordan,Irish
9,2001,silverstone,Silverstone,5.891,18,heidfeld,German,sauber,Swiss
2,2002,monaco,Monte-Carlo,3.337,19,coulthard,British,mclaren,British
2,2010,marina_bay,Marina Bay,4.94,19,vettel,German,red_bull,Austrian
2,2003,interlagos,São Paulo,4.309,15,coulthard,British,mclaren,British
17,2013,yeongam,Yeongam County,5.615,18,bottas,Finnish,williams,British
18,1998,magny_cours,Magny Cours,4.411,16,rosset,Brazilian,tyrrell,British
17,2005,albert_park,Melbourne,5.278,16,albers,Dutch,minardi,Italian
2,2021,losail,Al Daayen,5.419,16,gasly,French,alphatauri,Italian
17,2002,catalunya,Montmeló,4.657,14,salo,Finnish,toyota,Japanese
3,2017,sepang,Kuala Lumpur,5.543,15,max_verstappen,Dutch,red_bull,Austrian
0,2021,zandvoort,Zandvoort,4.259,14,perez,Mexican,red_bull,Austrian
13,2024,baku,Baku,6.003,20,stroll,Canadian,aston_martin,British
18,2008,villeneuve,Montreal,4.361,14,bourdais,French,toro_rosso,Italian
5,2021,catalunya,Montmeló,4.657,14,ocon,French,alpine,French
11,2012,marina_bay,Marina Bay,4.94,19,hulkenberg,German,force_india,Indian
17,2019,rodriguez,Mexico City,4.304,17,kevin_magnussen,Danish,haas,American
7,1999,monza,Monza,5.793,11,barrichello,Brazilian,stewart,British
3,2016,shanghai,Shanghai,5.451,16,raikkonen,Finnish,ferrari,Italian
18,2019,albert_park,Melbourne,5.278,16,sainz,Spanish,mclaren,British
5,2013,villeneuve,Montreal,4.361,14,webber,Australian,red_bull,Austrian
19,2022,villeneuve,Montreal,4.361,14,leclerc,Monegasque,ferrari,Italian
12,2015,yas_marina,Abu Dhabi,5.281,16,button,British,mclaren,British
2,2013,monaco,Monte-Carlo,3.337,19,hamilton,British,mercedes,German
15,2012,hungaroring,Budapest,4.381,14,kobayashi,Japanese,sauber,Swiss
19,2002,sepang,Kuala Lumpur,5.543,15,mcnish,British,toyota,Japanese
9,2009,sepang,Kuala Lumpur,5.543,15,alonso,Spanish,renault,French
3,2004,shanghai,Shanghai,5.451,16,button,British,bar,British
18,2005,hungaroring,Budapest,4.381,14,karthikeyan,Indian,jordan,Irish
15,2019,red_bull_ring,Spielberg,4.318,10,hulkenberg,German,renault,French
11,2006,suzuka,Suzuka,5.807,18,raikkonen,Finnish,mclaren,British
16,2005,interlagos,São Paulo,4.309,15,albers,Dutch,minardi,Italian
20,1999,nurburgring,Nürburg,5.148,15,gene,Spanish,minardi,Italian
3,2019,monaco,Monte-Carlo,3.337,19,max_verstappen,Dutch,red_bull,Austrian
17,1997,galvez,Buenos Aires,4.259,18,hakkinen,Finnish,mclaren,British
3,1998,monza,Monza,5.793,11,hakkinen,Finnish,mclaren,British
11,2018,americas,Austin,5.513,20,sainz,Spanish,renault,French
17,2014,sepang,Kuala Lumpur,5.543,15,sutil,German,sauber,Swiss
13,1996,nurburgring,Nürburg,5.148,15,verstappen,Dutch,footwork,British
